Barangay,Total Pixel,Level 1 (Low),Level 2 (Medium),Level 3 (High),Total Score
Amaya,114878,14857,5698,6727,0.404202719
Bagtas,126277,1080,1059,2983,0.096193289
Biga,183525,10134,8624,8033,0.280512192
Biwas,123598,17355,24320,0,0.533948769
Bucal,38424,7412,4714,0,0.438267749
Bunga,37914,2706,4277,0,0.29698792
Calibuyo,159693,23884,13344,13160,0.563906997
Capipisa,60557,11311,5207,4624,0.587826345
Daang Amaya,110816,5419,2004,0,0.085068943
Halayhay,181813,47898,17487,11244,0.641340278
Julugan,51802,11892,14470,434,0.813366279
Lambingan,219762,53059,13670,7065,0.462291024
Mulawin,73018,3801,2259,1060,0.157481717
Paradahan,69075,0,5138,158,0.155627941
Poblacion,26849,4051,5974,89,0.605832619
Punta,143798,5020,7726,9539,0.341374706
Sahud Ulan,184066,8595,7482,5464,0.217047146
Sanja Mayor,131010,6754,3646,1550,0.142706664
Santol,68655,12612,13786,0,0.585303328
Tanauan,76690,3204,2461,2404,0.2
Tres Cruses,94723,9080,6458,5555,0.408147968
